combo;DL1;DL2;DL3;DL4;DL5;UL1;MOD UL1;NR DL1;NR BW1;NR SCS1;NR DL2;NR BW2;NR SCS2;NR UL1;NR UL BW1;NR UL SCS1;NR UL MOD1;mimo DL1;mimo DL2;mimo DL3;mimo DL4;mimo DL5;mimo NR DL1;mimo NR DL2;mimo LTE UL1;mimo NR UL1;BCS NR;BCS LTE;BCS intraENDC
20A4-1A4A_n78A4-n3A4A;20A;1A;;;;1A;256qam;78A;100;;3A;50;;3A;50;;256qam;4;4;;;;4;4;1;1;;;
20A4-1A4A_n78A4A-n3A4;20A;1A;;;;1A;256qam;78A;100;;3A;50;;78A;100;;256qam;4;4;;;;4;4;1;1;;;
20A4A-1A4_n78A4-n3A4A;20A;1A;;;;20A;256qam;78A;100;;3A;50;;3A;50;;256qam;4;4;;;;4;4;1;1;;;
20A4A-1A4_n78A4A-n3A4;20A;1A;;;;20A;256qam;78A;100;;3A;50;;78A;100;;256qam;4;4;;;;4;4;1;1;;;
20A4-1A4A_n7A4A;20A;1A;;;;1A;256qam;7A;50;;;;;7A;50;;256qam;4;4;;;;4;;1;1;;;
20A4A-1A4_n7A4A;20A;1A;;;;20A;256qam;7A;50;;;;;7A;50;;256qam;4;4;;;;4;;1;1;;;
20A4-1A4A_n78A4-n38A4A;20A;1A;;;;1A;256qam;78A;100;;38A;20;;38A;20;;256qam;4;4;;;;4;4;1;1;;;
20A4-1A4A_n78A4A-n38A4;20A;1A;;;;1A;256qam;78A;100;;38A;40;;78A;100;;256qam;4;4;;;;4;4;1;1;;;
20A4A-1A4_n78A4-n38A4A;20A;1A;;;;20A;256qam;78A;100;;38A;20;;38A;20;;256qam;4;4;;;;4;4;1;1;;;
20A4A-1A4_n78A4A-n38A4;20A;1A;;;;20A;256qam;78A;100;;38A;40;;78A;100;;256qam;4;4;;;;4;4;1;1;;;
20A4-1A4A_n38A4A;20A;1A;;;;1A;256qam;38A;40;;;;;38A;40;;256qam;4;4;;;;4;;1;1;;;
20A4A-1A4_n38A4A;20A;1A;;;;20A;256qam;38A;40;;;;;38A;40;;256qam;4;4;;;;4;;1;1;;;
20A4-1A4A_n41A4A;20A;1A;;;;1A;256qam;41A;100;;;;;41A;100;;256qam;4;4;;;;4;;1;1;;;
20A4A-1A4_n41A4A;20A;1A;;;;20A;256qam;41A;100;;;;;41A;100;;256qam;4;4;;;;4;;1;1;;;
20A4-1A4A_n78A4A-n78A4;20A;1A;;;;1A;256qam;78A;100;;78A;100;;78A;100;;256qam;4;4;;;;4;4;1;1;;;
20A4A-1A4_n78A4A-n78A4;20A;1A;;;;20A;256qam;78A;100;;78A;100;;78A;100;;256qam;4;4;;;;4;4;1;1;;;
20A4-1A4A_n78C4A;20A;1A;;;;1A;256qam;78C;100;;;;;78A;100;;256qam;4;4;;;;4;;1;1;;;
20A4-1A4A_n78A4A;20A;1A;;;;1A;256qam;78A;100;;;;;78A;100;;256qam;4;4;;;;4;;1;1;;;
20A4A-1A4_n78C4A;20A;1A;;;;20A;256qam;78C;100;;;;;78A;100;;256qam;4;4;;;;4;;1;1;;;
20A4A-1A4_n78A4A;20A;1A;;;;20A;256qam;78A;100;;;;;78A;100;;256qam;4;4;;;;4;;1;1;;;
42C4-28A4-1A4A_n77A4A;42C;28A;1A;;;1A;256qam;77A;100;;;;;77A;100;;256qam;4;4;4;;;4;;1;1;;;
42A4-28A4-1A4A_n77A4A;42A;28A;1A;;;1A;256qam;77A;100;;;;;77A;100;;256qam;4;4;4;;;4;;1;1;;;
42C4-28A4A-1A4_n77A4A;42C;28A;1A;;;28A;256qam;77A;100;;;;;77A;100;;256qam;4;4;4;;;4;;1;1;;;
42A4-28A4A-1A4_n77A4A;42A;28A;1A;;;28A;256qam;77A;100;;;;;77A;100;;256qam;4;4;4;;;4;;1;1;;;
28A4-1A4A_n78A4-n3A4A;28A;1A;;;;1A;256qam;78A;100;;3A;50;;3A;50;;256qam;4;4;;;;4;4;1;1;;;
28A4-1A4A_n78A4A-n3A4;28A;1A;;;;1A;256qam;78A;100;;3A;50;;78A;100;;256qam;4;4;;;;4;4;1;1;;;
28A4A-1A4_n78A4-n3A4A;28A;1A;;;;28A;256qam;78A;100;;3A;50;;3A;50;;256qam;4;4;;;;4;4;1;1;;;
28A4A-1A4_n78A4A-n3A4;28A;1A;;;;28A;256qam;78A;100;;3A;50;;78A;100;;256qam;4;4;;;;4;4;1;1;;;
28A4-1A4A_n3A4A;28A;1A;;;;1A;256qam;3A;50;;;;;3A;50;;256qam;4;4;;;;4;;1;1;;;
28A4A-1A4_n3A4A;28A;1A;;;;28A;256qam;3A;50;;;;;3A;50;;256qam;4;4;;;;4;;1;1;;;
28A4-1A4A_n7A4A;28A;1A;;;;1A;256qam;7A;50;;;;;7A;50;;256qam;4;4;;;;4;;1;1;;;
28A4A-1A4_n7A4A;28A;1A;;;;28A;256qam;7A;50;;;;;7A;50;;256qam;4;4;;;;4;;1;1;;;
28A4-1A4A_n78A4-n40A4A;28A;1A;;;;1A;256qam;78A;100;;40A;100;;40A;100;;256qam;4;4;;;;4;4;1;1;;;
28A4-1A4A_n78A4A-n40A4;28A;1A;;;;1A;256qam;78A;100;;40A;100;;78A;100;;256qam;4;4;;;;4;4;1;1;;;
28A4A-1A4_n78A4-n40A4A;28A;1A;;;;28A;256qam;78A;100;;40A;100;;40A;100;;256qam;4;4;;;;4;4;1;1;;;
28A4A-1A4_n78A4A-n40A4;28A;1A;;;;28A;256qam;78A;100;;40A;100;;78A;100;;256qam;4;4;;;;4;4;1;1;;;
